variable,dataType,encrypted,description,detail,allowedSuffix,measureUnit,allowedValues,valueInfo,provenance,expectedFileExt
id,id,0,Participant ID,"The participant ID is specific to this study, and is auto-assigned by REDCap.",NA,Integer,"[3000000,3009999],[3080000,3089999],[3090000,3099999]",One ID per participant (eligible and ineligible),"file: ""thriveconsent""; variable: ""record_id""",NA
fasap,redcap_data,0,FASA-P questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""bbsparent""; variable: """"",NA
rsrip,redcap_data,0,RSI-P questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""bbsparent""; variable: """"",NA
scaredp,redcap_data,0,SCARED-P questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""bbsparent""; variable: """"",NA
texip_b,redcap_data,0,TEXI-P (v. B) questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""bbsparent""; variable: """"",NA
yssmp,redcap_data,0,YSSM-P questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""bbsparent""; variable: """"",NA
adexi_b,redcap_data,0,ADEXI (v. B) questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""bbsparent""; variable: """"",NA
bfne_b_parent,redcap_data,0,BFNE (v. B) parent self-report questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""bfne_b_complete""!=NULL within parent redcap files (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""bbsparent""; variable: ""bfne_b""",NA
erq,redcap_data,0,ERQ questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""bbsparent""; variable: """"",NA
fpe_parent,redcap_data,0,FPE parent self-report questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""bbsparent""; variable: ""fpe""",NA
masi_b_parent,redcap_data,0,MASI (v. B) parent self-report questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""bbsparent""; variable: ""masi_b""",NA
phq8,redcap_data,0,PHQ8 questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""bbsparent""; variable: """"",NA
pints_parent,redcap_data,0,PINTS parent self-report questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""bbsparent""; variable: ""pints""",NA
pss,redcap_data,0,PSS questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""bbsparent""; variable: """"",NA
scaared_b,redcap_data,0,SCAARED (v. B) questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""bbsparent""; variable: """"",NA
via_parent,redcap_data,0,VIA parent self-report questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""bbsparent""; variable: ""via""",NA
rpbip,redcap_data,0,RPBI-P questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""bbsparent""; variable: """"",NA
bfne_b_scrdTotal,redcap_scrd,0,BFNE (v. B) total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
fpe_scrdTotal,redcap_scrd,0,FPE total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
spaic_scrdTotal,redcap_scrd,0,SPAI-C total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
esi_scrdTotal,redcap_scrd,0,ESI total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
ats_scrdTotal,redcap_scrd,0,ATS total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
ats_scrdStd,redcap_scrd,0,ATS high standards score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
ats_scrdGen,redcap_scrd,0,ATS generalization score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
ats_scrdCrit,redcap_scrd,0,ATS self-criticism score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
pints_scrdTotal,redcap_scrd,0,PINTS total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
swcq_scrdTotal,redcap_scrd,0,SWCQ total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
swcq_scrdAca,redcap_scrd,0,SWCQ academic score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
swcq_scrdSoc,redcap_scrd,0,SWCQ social feedback score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
rcads_scrdTotal,redcap_scrd,0,RCADS total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
rcads_scrdAnx,redcap_scrd,0,RCADS anxiety score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
rcads_scrdDep,redcap_scrd,0,RCADS depression score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
rpeq_scrdOv,redcap_scrd,0,RPEQ overt score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
rpeq_scrdRel,redcap_scrd,0,RPEQ relational subscore,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
rpeq_scrdRep,redcap_scrd,0,RPEQ reputational subscore,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
rpeq_scrdPro,redcap_scrd,0,RPEQ prosocial subscore,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
tsis_scrdSIP,redcap_scrd,0,TSIS social information processing score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
casi_scrdTotal,redcap_scrd,0,CASI total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
sassy_scrdSocRej,redcap_scrd,0,SASSY social rejection score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
socrew_scrdTotal,redcap_scrd,0,SOCREW total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
socrew_scrdLike,redcap_scrd,0,SOCREW liking subscore,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
socrew_scrdWant,redcap_scrd,0,SOCREW wanting score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
socrew_scrdEff,redcap_scrd,0,SOCREW effort score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
erqca_scrdCogRea,redcap_scrd,0,ERQ-CA cognitive reappraisal score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
erqca_scrdExpSup,redcap_scrd,0,ERQ-CA expressive suppression score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
oopjr_scrdTotal,redcap_scrd,0,OOPjr total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
ocic_scrdTotal,redcap_scrd,0,OCI-C total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
ocic_scrdDoubt,redcap_scrd,0,OCI-C doubting/checking score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
ocic_scrdObs,redcap_scrd,0,OCI-C obsessing score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
ocic_scrdHoard,redcap_scrd,0,OCI-C hoarding score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
ocic_scrdWash,redcap_scrd,0,OCI-C washing score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
ocic_scrdOrder,redcap_scrd,0,OCI-C ordering score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
ocic_scrdNeu,redcap_scrd,0,OCI-C neutralizing score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
mss_scrdSDS,redcap_scrd,0,MSS self-determined solitude score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
edshvsc_scrdEdsEver,redcap_scrd,0,EDS-C ever/never score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
edshvsc_scrdEdsFreq,redcap_scrd,0,EDS-C frequency score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
edshvsc_scrdEdsChron,redcap_scrd,0,EDS-C chronicity score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
edshvsc_scrdHvsEver,redcap_scrd,0,HVS-C ever/never score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
edshvsc_scrdHvsFreq,redcap_scrd,0,HVS-C frequency score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
psb_scrdTotal,redcap_scrd,0,PSB total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
pds_scrdFem,redcap_scrd,0,PDS female total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
pds_scrdMal,redcap_scrd,0,PDS male total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
lsasca_scrdTotal,redcap_scrd,0,LSAS-CA total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
lsasca_scrdTotAnx,redcap_scrd,0,LSAS-CA total anxiety score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
lsasca_scrdAnxInt,redcap_scrd,0,LSAS-CA interaction anxiety score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
lsasca_scrdAnxPer,redcap_scrd,0,LSAS-CA performance anxiety score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
lsasca_scrdTotAvo,redcap_scrd,0,LSAS-CA total avoidance score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
lsasca_scrdAvoInt,redcap_scrd,0,LSAS-CA avoidance of interaction score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
lsasca_scrdAvoPer,redcap_scrd,0,LSAS-CA avoidance of performance score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
abq_scrdTotal,redcap_scrd,0,ABQ total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
abq_scrdEng,redcap_scrd,0,ABQ engagement with threat score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
abq_scrdDis,redcap_scrd,0,ABQ difficulty to disengage from threat score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
rpbic_scrdAcc,redcap_scrd,0,RPBI-C acceptance score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
rpbic_scrdPsyC,redcap_scrd,0,RPBI-C psychological control score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
masi_b_scrdTotal,redcap_scrd,0,MASI (v. B) total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
masi_b_scrdAccPro,redcap_scrd,0,MASI (v. B) pressure to acculturate score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
masi_b_scrdAccCon,redcap_scrd,0,MASI (v. B) pressure against acculturation score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
via_scrdHer,redcap_scrd,0,VIA heritage score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
via_scrdMain,redcap_scrd,0,VIA mainstream score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
texi_b_scrdInh,redcap_scrd,0,TEXI (v. B) inhibition score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
texi_b_scrdWm,redcap_scrd,0,TEXI (v. B) working memory score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
bfnep_b_scrdTotal,redcap_scrd,0,BFNE-P (v. B) total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
fpep_scrdTotal,redcap_scrd,0,FPE-P total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
spaip_scrdTotal,redcap_scrd,0,SPAI-P total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
esip_scrdTotal,redcap_scrd,0,ESI-P total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
pscei_scrdTotal,redcap_scrd,0,PSCEI total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
dersp_scrdCat,redcap_scrd,0,DERS-P catastrophize score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
dersp_scrdNeg,redcap_scrd,0,DERS-P negative secondary score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
dersp_scrdAtt,redcap_scrd,0,DERS-P attuned score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
